Star_name,Distance,solar_mass,solar_radius
2MASS J14392837+1929150,47.0,0.06873034,0.10584588
LSPM J1440+1339,72.0,0.087822095,0.122287974
2MASS J14482563+1031590 [de],47.0,0.056320693,0.10173537
CFBDSIR 1458+10A,104.0,0.010595927,0.1541445
CFBDSIR 1458+10B,104.0,0.008591292,0.13359189
TVLM 513-46546,35.1,0.0715941,0.10790114
2MASS 1503+2525,20.7,0.042001873,0.09659722
CFBDS J150411+102717,71.0,0.042001873,0.09659722
2MASSW J1506544+132106 [de],46.0,0.065866575,0.104818255
2MASS 1507−1627,23.9,0.05727528,0.10173537
TVLM 868-110639,53.0,0.07541245,0.11098404
2MASSW J1515008+484742 [de],34.0,0.054411516,0.10173537
2MASSI J1526140+204341 [de],67.0,0.05154775,0.10070774
DENIS-P J153941.96-052042.4 [de],51.0,0.060139045,0.102763
2MASS J15462718-3325111 [de],37.0,0.042001873,0.09659722
2MASSW J1552591+294849 [de],68.0,0.02863764,0.14695108
2MASSW J1555157-095605 [de],44.0,0.06777575,0.10584588
2MASS J16150413+1340079 [de],48.0,0.040092696,0.09659722
SDSSp J162414.37+002915.6 [de],36.0,0.041047283,0.09659722
2MASS J16262034+3925190 [de],110.0,0.06777575,0.10584588
2MASSW J1632291+190441 [de],50.0,0.046774812,0.09968011
WISEPA J164715.59+563208.2,28.0,0.03913811,0.09659722
LSPM J1658+7027 [de],60.0,0.06968492,0.10687351
2MASSI J1726000+153819,114.0,0.022910113,0.1438682
SDSSp J175032.96+175903.9,90.0,0.044865634,0.09968011
2MASS J18283572-4849046,39.0,0.04295646,0.097624846
LSR J1835+3259,18.5,0.07350328,0.10995641
2MASSW J1841086+311727,138.0,0.06395739,0.103790626
2MASS J18432213+4040209,46.0,0.09164045,0.12537086
2MASS J20004841-7523070,105.0,0.0238647,0.19319443
SDSS J204749.61-071818.3,65.0,0.043911047,0.098652475
2MASSI J2057540-025230,47.0,0.06682116,0.104818255
2MASSI J2104149-103736,62.0,0.065866575,0.104818255
PSO J318.5−22,80.0,0.006204822,0.15722738
HB 2124-4228,113.0,0.08973127,0.12434323
2MASS J21392676+0220226,32.1,0.043911047,0.098652475
2MASS J21481628+4003593,26.3,0.05250234,0.10173537
2MASSW J2206450-421721,93.0,0.021000937,0.13667479
2MASSW J2208136+292121,154.0,0.025773875,0.14489582
2MASSW J2224438-015852,38.0,0.058229867,0.10173537
2MASS J22282889-4310262,35.0,0.040092696,0.09659722
2MASS J22373255+3922398,64.0,0.06968492,0.10687351
2MASSW J2244316+204343,56.0,0.011455056,0.13256426
2MASS J23224684-3133231,56.0,0.022910113,0.14284056
2MASS J23225299-6151275,148.0,0.016227996,0.16339317
2MASS J23515044-2537367,67.0,0.08400375,0.11920507
2MASSI J2356547-155310,74.0,0.07636704,0.11201167
WISE 0410+1502,20.0,0.005727528,0.1202327
WISE 0458+6434A,35.9,0.01431882,0.43160456
WISE 0458+6434B,35.9,0.00954588,0.39049938
WISE 1405+5534,25.3,0.02863764,0.08837618
